task,task_label,component,variance_explained,cumulative_variance_explained,singular_value
xor_electrode_classification,XOR,17,0.021057900753816913,0.7270842823702622,1.3241250142579468
xor_electrode_classification,XOR,18,0.02023724734695679,0.747321529717219,1.298067189421897
xor_electrode_classification,XOR,19,0.019391448459181497,0.7667129781764005,1.2706518638294562
xor_electrode_classification,XOR,20,0.018434690385322736,0.7851476685617232,1.23890891100696
xor_electrode_classification,XOR,21,0.018189876720142873,0.8033375452818661,1.2306550284257003
xor_electrode_classification,XOR,22,0.01678892153484888,0.820126466816715,1.1823140550518212
xor_electrode_classification,XOR,23,0.01617948035964422,0.8363059471763592,1.1606565784959517
xor_electrode_classification,XOR,24,0.014654206070839873,0.8509601532471992,1.1045937966232964
xor_electrode_classification,XOR,25,0.013029960534727712,0.8639901137819269,1.0415808890861742
xor_electrode_classification,XOR,26,0.012680117832295699,0.8766702316142226,1.0275029971860712
xor_electrode_classification,XOR,27,0.010860958243673037,0.8875311898578957,0.9509452746275173
xor_electrode_classification,XOR,28,0.01026025142762323,0.8977914412855189,0.9242733997010113
xor_electrode_classification,XOR,29,0.009050841946283583,0.9068422832318025,0.8680923782304582
xor_electrode_classification,XOR,30,0.008708326208585762,0.9155506094403882,0.8515081268380612
xor_electrode_classification,XOR,31,0.007746247119079,0.9232968565594672,0.8030953781450814
xor_electrode_classification,XOR,32,0.007584681630939799,0.9308815381904071,0.7946760613964738
xor_electrode_classification,XOR,33,0.0070599171648817885,0.9379414553552888,0.7666925715657248
xor_electrode_classification,XOR,34,0.0066296011286060995,0.9445710564838949,0.7429595210851679
xor_electrode_classification,XOR,35,0.006093176014345765,0.9506642324982407,0.7122678054011036
xor_electrode_classification,XOR,36,0.0059100919872451885,0.956574324485486,0.7014852973548759
xor_electrode_classification,XOR,37,0.0057285918442887334,0.9623029163297747,0.6906299257681044
xor_electrode_classification,XOR,38,0.005456615437206388,0.9677595317669812,0.6740360523368579
xor_electrode_classification,XOR,39,0.004303287437363285,0.9720628192043445,0.5985792124854267
xor_electrode_classification,XOR,40,0.003994691611058437,0.9760575108154028,0.5767174356939966
xor_electrode_classification,XOR,41,0.0037792779268638428,0.9798367887422667,0.5609522162337464
xor_electrode_classification,XOR,42,0.0033193348839072223,0.9831561236261739,0.5257109073295214
xor_electrode_classification,XOR,43,0.0030818279622837758,0.9862379515884576,0.506553882498614
xor_electrode_classification,XOR,44,0.002769511035398784,0.9890074626238564,0.48020093650229406
xor_electrode_classification,XOR,45,0.0025682031369165504,0.9915756657607729,0.4624194989130243
xor_electrode_classification,XOR,46,0.0025064729694853688,0.9940821387302583,0.45682826349004485
xor_electrode_classification,XOR,47,0.002218206145496341,0.9963003448757547,0.42975645125861306
xor_electrode_classification,XOR,48,0.0019040730082466066,0.998204417884001,0.39816515543656267
xor_electrode_classification,XOR,49,0.001795582115998697,0.9999999999999998,0.3866554074928458
xor_electrode_classification,XOR,50,1.7212798221096295e-32,0.9999999999999998,1.1971462006746396e-15
